Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
100,4,77,Dijkstra Classico,0.0014119148254394531,1.1645576291019157e-08
100,4,77,Dijkstra Min-Heap,0.0019378662109375,1.5113875884973467e-08
100,4,77,NetworkX Referencia,0.0007481575012207031,7.265042061228479e-09
100,5,65,Dijkstra Classico,0.0014727115631103516,1.0772441899501093e-08
100,5,65,Dijkstra Min-Heap,0.0011539459228515625,9.730598753010871e-09
100,5,65,NetworkX Referencia,0.0007207393646240234,6.843496200576343e-09
100,5,14,Dijkstra Classico,0.006795644760131836,5.7310820487689217e-08
100,5,14,Dijkstra Min-Heap,0.0016436576843261719,1.1052797786168175e-08
100,5,14,NetworkX Referencia,0.0009920597076416016,7.712016208823152e-09
100,5,49,Dijkstra Classico,0.0024559497833251953,1.55849350021339e-08
100,5,49,Dijkstra Min-Heap,0.0011119842529296875,9.052828776474029e-09
100,5,49,NetworkX Referencia,0.0007338523864746094,7.039999965704751e-09
100,5,73,Dijkstra Classico,0.0013952255249023438,1.0605893502486688e-08
100,5,73,Dijkstra Min-Heap,0.0011391639709472656,9.33680303524752e-09
100,5,73,NetworkX Referencia,0.0006978511810302734,7.0515302464363504e-09
100,5,24,Dijkstra Classico,0.0013823509216308594,1.0481792084974819e-08
100,5,24,Dijkstra Min-Heap,0.0010714530944824219,8.779827718731776e-09
100,5,24,NetworkX Referencia,0.0009987354278564453,7.8460683885039e-09
100,6,32,Dijkstra Classico,0.004616975784301758,4.444750839492029e-08
100,6,32,Dijkstra Min-Heap,0.002512216567993164,1.555360164584025e-08
100,6,32,NetworkX Referencia,0.0008006095886230469,8.476936800109454e-09
100,6,5,Dijkstra Classico,0.0023109912872314453,1.5156142453135312e-08
100,6,5,Dijkstra Min-Heap,0.0011165142059326172,8.879354295239728e-09
100,6,5,NetworkX Referencia,0.0006775856018066406,7.2621953842419556e-09
100,6,90,Dijkstra Classico,0.0014040470123291016,1.0752964298229526e-08
100,6,90,Dijkstra Min-Heap,0.0011529922485351562,9.335361743759568e-09
100,6,90,NetworkX Referencia,0.0007212162017822266,6.769784496153667e-09
100,6,55,Dijkstra Classico,0.001455545425415039,1.0594811616512738e-08
100,6,55,Dijkstra Min-Heap,0.001462697982788086,1.2328039963034916e-08
100,6,55,NetworkX Referencia,0.0010371208190917969,7.844695491057196e-09
100,6,0,Dijkstra Classico,0.0025174617767333984,1.928680676167464e-08
100,6,0,Dijkstra Min-Heap,0.0011324882507324219,8.989217215029127e-09
100,6,0,NetworkX Referencia,0.0006334781646728516,7.181394874776249e-09
100,7,66,Dijkstra Classico,0.0015363693237304688,1.1610607117374283e-08
